what baffles me,co mnie zastanawia,baffle
to conclude from a mistake,wywnioskować z błędu,conclude
the task is all yours,task jest cały twój,
here is the amended version,tu jest poprawiona wersja,amended
domestic payments,płatności krajowe,domestic
this is very flattering,to jest bardzo pochlebiające,flattering
what did I got myself into,w co ja się wpakowałem,
at your fingertips,na wyciągnięcie ręki,fingertips
bookworm,mol książkowy,bookworm
to pick somebody up,odebrać kogoś,pick up
to pick up girls,podrywać dziewczyny,pick up
she picked up a few polish words,podłapała kilka polskich słówek,pick up
get over it,pogódź się z tym,get over something
to take a leap,robić krok,leap
simply put,krótko mówiąc,
there's no way around that,nic na to nie poradzisz,
without further ado,bez zbędnych ceregieli,ado
when I am depriving myself of sleep,kiedy pozbawiam się snu,rive
robe,szlafrok,robe
to grow accustomed to something,zżyć się z czymś,accustomed
to burst into laughter,wybuchnąć śmiechem,burst
to burst into tears,wybuchnąć płaczem,burst
enough is enough,tego już za wiele,
make yourself to home,czuj się jak u siebie w domu,
snitch,kabel,snitch
your call,twój wybór,
chestnut,kasztan,chestnut
oaky aftertaste,dębowy posmak,aftertaste
sliding door,drzwi przesuwne,sliding
to get a ticket,dostać mandat,
it's straight up illegal to have feelings,to jest po prostu zabronione mieć uczucia,
the major draw to Elixir,największą atrakcją Elixira,draw
bachelor party,wieczór kawalerski,bachelor
bachelorette party,wieczór panieński,bachelorette
streamlined,uproszczony,streamlined
this case is getting really hairy,ta sprawa staje się naprawdę skomplikowana,hairy
off the top of your head,na szybko/bez zastanowienia,
coolio,"lepsze" cool,coolio
nothing much,nic takiego,
to take over,przejąć,take over
to mimick,naśladować,
you are not granted permissions,nie masz pozwoleń,
it's an ongoing issue,to powtarzający się problem,
every fortnight,co dwa tygodnie,fortnight
having said that,mając to na uwadze,
disruption,zamęt/nieporządek,
pristine,nienaruszony,pristine
it looks fine to me,jak dla mnie w porządku,
second to the last one,przedostatni,
you have to take my word that it was great,musisz mi uwierzyć na słowo że to było wspaniałe,
the Seine,Sekwana,the seine
this is a different kettle of fish,to inna para kaloszy,kettle
we need to man up,musimy zdobyć się na odwagę,man up
I was spot on,trafiłem w dziesiątkę,spot on
to cater to your requirements,zaspokajać wasze potrzeby,cater
what does MLRO stand for?,co oznacza MLRO?,
sorry for the confusion,przepraszam za zamieszanie,
in the sense that,w sensie że,
out of habit,z przyzwyczajenia,
rub this into my back,wetrzyj mi to w plecy,
Brits,Brytyjczycy,Brits
indispensable,niezbędny/nieodzowny,indispensable
comrades,kamraci/koledzy,comrades
peasants,chłopi,peasants
to round up team again,znowu zwołać zespół,round up
so called,tak zwany,
you look like a bum,wyglądasz jak jakiś menel,bum
I'm torn between,nie mogę zdecydować pomiędzy,torn
we're in good hands,jesteśmy w dobrych rękach,
I'm on it,zajmuję się tym,
gents,chłopaki,gents
plateau,zastój stagnacja,plateau
latent potential,ukryty potencjał,latent
much appreciated,bardzo doceniam,
as per specification,jak na specyfikacji/zgodnie ze specyfikacją,
nothing comes to my mind,nic nie przychodzi mi do głowy,
he knows ins and outs of the app,on zna tajniki aplikacji,ins and outs
overambitious,zbyt ambitny,overambitious
landlord,właściciel mieszkania,landlord
let's stay with the first one,zostańmy przy tym pierwszym,stay with
the best is yet to come,najlepsze przed nami,
not enough time,za mało czasu,
they should go hand in hand,oni powinni iść w ścisłym powiązaniu,hand in hand
don't quote me on this,nie cytuj mnie,
to be privy to something,być w coś wtajemniczonym,privy
contradiction,zaprzeczenie,contradiction
chink,żółtek(obraźliwe),chink
artefact,wada w kompresji np. dźwięku czy obrazu,artefact
you can drop off the call,możesz się rozłączyć z rozmowy, drop off
to mow the lawn,kosić trawnik,mow the lawn
liability,odpowiedzialność prawna/zobowiązanie,liability
jag,dzban (jags: duże kobiece cyce),jag
leave it as it is,niech zostanie tak jak jest,
anticlockwise,ruch przeciwny do wskazówek zegara,anticlockwise
delikatna sprawa,delicate matter,delicate
dormant,uśpiony/niekatywny,dormant
in favor of,na korzyść,
you're welcome,nie ma za co,
as clear as mud,nieźle zakręcone/zagmatwane,
don't beat yourself up,nie zadręczaj się,
scarlet,szkarłatny,scarlet
rug,dywanik,rug
trial and error,metoda prób i błędów,trial and error
cues differ from person to person,sygnały różnią się z osoby na osobę,differ
cue,sygnał do rozpoczęcia czegoś,cue
to walk into a cupboard,zderzyłem się z szafką,walk into something
to flip the light switch,włączyć światło,flip
sweep away foggy notions,zrównać z ziemią mgliste pojęcia,sweep away
windowsill,parapet,windowsill
her heart went out to him,czuła sympatię do niego,
troops,żołnierze,troops
to file a complaint,złożyć zażalenie,file
as per design,zgodnie z designem,as per
sometime in the future,kiedyś,
indefinitely,bez konca,indefinitely
to push a metting back,przełożyć spotkanie,push back
this should do the job,to powinno zadziałać,do the job
in layman's terms,na chłopski rozum,in layman's terms
someone's at the door,ktoś dzwoni do drzwi,
full-fledged,pełnoprawny,full-fledged
